z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
11,26,37Na,2.49E+4,9.80E+2,,,,,6.40E+3,1.90E+1,-4.60E+2,1.90E+1
11,10,21Na,-1.30E+4,7.55E-1,3.54E+3,1.77E-2,2.52E+3,1.77E-2,7.76E+3,2.00E-3,8.53E+1,2.00E-3
11,12,23Na,-4.05E+3,3.17E-2,-4.37E+3,1.04E-1,-5.39E+3,1.04E-1,8.11E+3,2.00E-4,1.03E+2,2.00E-4
11,11,22Na,-4.78E+3,1.63E-1,2.84E+3,1.32E-1,1.82E+3,1.32E-1,7.91E+3,6.00E-3,5.42E+1,6.00E-3
11,14,25Na,3.83E+3,1.20,-7.32E+3,2.90E+1,-8.34E+3,2.90E+1,8.10E+3,4.80E-2,1.26E+2,4.80E-2
11,13,24Na,5.51E+3,2.10E-2,-2.46E+3,5.13E-1,-3.48E+3,5.13E-1,8.06E+3,7.00E-4,8.75E+1,7.00E-4
11,16,27Na,9.06E+3,3.72,-1.25E+4,9.08E+1,-1.35E+4,9.08E+1,7.95E+3,1.38E-1,7.24E+1,1.38E-1
11,15,26Na,9.35E+3,3.50,-7.34E+3,1.87E+1,-8.36E+3,1.87E+1,8.00E+3,1.34E-1,5.24E+1,1.34E-1
11,18,29Na,1.32E+4,7.34,-1.57E+4,1.49E+2,-1.67E+4,1.49E+2,7.68E+3,2.53E-1,2.14E+1,2.53E-1
11,17,28Na,1.40E+4,1.02E+1,-1.22E+4,1.26E+2,-1.33E+4,1.26E+2,7.79E+3,3.65E-1,-3.43,3.65E-1
11,19,30Na,1.73E+4,4.90,-1.48E+4,2.53E+2,-1.58E+4,2.53E+2,7.50E+3,1.57E-1,-6.59E+1,1.57E-1
12,11,23Mg,-1.22E+4,3.46E-1,4.05E+3,3.17E-2,3.03E+3,3.17E-2,7.90E+3,1.40E-3,6.48E+1,1.40E-3
12,10,22Mg,-1.86E+4,4.01E+2,4.78E+3,1.63E-1,3.75E+3,1.63E-1,7.66E+3,7.20E-3,8.81E+1,7.20E-3
12,13,25Mg,-4.27E+3,4.46E-2,-3.83E+3,1.20,-4.85E+3,1.20,8.22E+3,1.90E-3,7.92E+1,1.90E-3
12,12,24Mg,-1.38E+4,2.28E-1,-5.51E+3,2.10E-2,-6.53E+3,2.10E-2,8.26E+3,6.00E-4,2.46E+1,6.00E-4
12,15,27Mg,2.61E+3,6.69E-2,-9.06E+3,3.72,-1.00E+4,3.72,8.26E+3,1.80E-3,7.44E+1,1.80E-3
12,14,26Mg,-4.00E+3,6.29E-2,-9.35E+3,3.50,-1.03E+4,3.50,8.33E+3,1.10E-3,1.08E+2,1.10E-3
12,17,29Mg,7.59E+3,4.87E-1,-1.32E+4,7.34,-1.43E+4,7.34,8.11E+3,1.19E-2,7.04E+1,1.19E-2
12,16,28Mg,1.83E+3,2.65E-1,-1.40E+4,1.02E+1,-1.50E+4,1.02E+1,8.27E+3,9.29E-3,8.98E+1,9.29E-3
12,19,31Mg,1.18E+4,3.80,-1.53E+4,1.43E+1,-1.63E+4,1.43E+1,7.86E+3,9.92E-2,4.12E+1,9.92E-2
12,18,30Mg,6.98E+3,2.32,-1.73E+4,4.90,-1.83E+4,4.90,8.05E+3,4.32E-2,7.88E+1,4.32E-2
12,20,32Mg,1.02E+4,7.87,-1.94E+4,3.74E+1,-2.04E+4,3.74E+1,7.80E+3,1.01E-1,7.84,1.01E-1
12,22,34Mg,1.13E+4,7.20,-2.33E+4,5.99E+2,-2.43E+4,5.99E+2,7.55E+3,2.02E-1,-1.15E+2,2.02E-1
12,21,33Mg,1.34E+4,7.47,-1.88E+4,4.49E+2,-1.98E+4,4.49E+2,7.63E+3,8.06E-2,-7.27E+1,8.06E-2
12,24,36Mg,1.44E+4,7.06E+2,-2.55E+4,9.74E+2,-2.65E+4,9.74E+2,7.24E+3,1.91E+1,-2.18E+2,1.91E+1
12,23,35Mg,1.58E+4,2.69E+2,-2.21E+4,7.23E+2,-2.32E+4,7.23E+2,7.35E+3,7.70,-1.82E+2,7.70
12,26,38Mg,1.76E+4,5.25E+2,-2.78E+4,8.75E+2,-2.88E+4,8.75E+2,6.92E+3,1.30E+1,-3.25E+2,1.30E+1
12,25,37Mg,1.84E+4,7.21E+2,-2.49E+4,9.80E+2,-2.59E+4,9.80E+2,7.05E+3,1.88E+1,-2.94E+2,1.88E+1
12,28,40Mg,2.07E+4,5.83E+2,,,,,6.59E+3,1.30E+1,-4.24E+2,1.30E+1
